Time,Q1,Q2,T1,T2
0,0.0,0.0,24.121,23.154
2,0.0,0.0,24.121,23.154
4,0.0,0.0,24.121,23.154
6,0.0,0.0,24.121,23.154
8,0.0,0.0,24.121,23.154
10,0.0,0.0,24.121,23.154
12,0.0,0.0,24.121,23.154
14,0.0,0.0,24.121,23.154
16,0.0,0.0,24.121,23.154
18,0.0,0.0,24.089,23.154
20,80.0,0.0,24.121,23.154
22,80.0,0.0,24.121,23.154
24,80.0,0.0,24.121,23.154
26,80.0,0.0,24.443,23.154
28,80.0,0.0,24.766,23.187
30,80.0,0.0,25.185,23.187
32,80.0,0.0,25.732,23.154
34,80.0,0.0,26.28,23.283
36,80.0,0.0,26.699,23.348
38,80.0,0.0,27.344,23.412
40,80.0,0.0,27.988,23.477
42,80.0,0.0,28.729,23.509
44,80.0,0.0,29.438,23.477
46,80.0,0.0,30.147,23.509
48,80.0,0.0,30.889,23.638
50,80.0,0.0,31.533,23.799
52,80.0,0.0,32.468,23.767
54,80.0,0.0,33.112,23.96
56,80.0,0.0,33.789,24.089
58,80.0,0.0,34.434,24.121
60,80.0,0.0,35.078,24.25
62,80.0,0.0,35.98,24.443
64,80.0,0.0,36.657,24.443
66,80.0,0.0,37.334,24.637
68,80.0,0.0,37.979,24.766
70,80.0,0.0,38.623,24.766
72,80.0,0.0,39.3,25.088
74,80.0,0.0,39.912,25.088
76,80.0,0.0,40.653,25.378
78,80.0,0.0,41.427,25.41
80,80.0,0.0,42.168,25.732
82,80.0,0.0,42.813,25.732
84,80.0,0.0,43.457,26.022
86,80.0,0.0,44.102,26.087
88,80.0,0.0,44.746,26.377
90,80.0,0.0,45.391,26.57
92,80.0,0.0,46.035,26.699
94,80.0,0.0,46.68,26.989
96,80.0,0.0,47.324,27.021
98,80.0,0.0,47.969,27.344
100,80.0,35.0,48.42,27.569
102,80.0,35.0,48.936,27.666
104,80.0,35.0,49.58,28.182
106,80.0,35.0,50.225,28.278
108,80.0,35.0,50.547,28.504
110,80.0,35.0,51.191,28.826
112,80.0,35.0,51.514,29.148
114,80.0,35.0,51.997,29.277
116,80.0,35.0,52.48,29.793
118,80.0,35.0,52.835,30.115
120,80.0,35.0,53.447,30.438
122,80.0,35.0,54.092,30.663
124,80.0,35.0,54.253,30.889
126,80.0,35.0,54.736,31.243
128,80.0,35.0,55.123,31.823
130,80.0,35.0,55.703,32.371
132,80.0,35.0,56.058,32.597
134,80.0,35.0,56.412,32.983
136,80.0,35.0,56.96,33.338
138,80.0,35.0,57.314,33.66
140,80.0,35.0,57.637,33.789
142,80.0,35.0,57.959,34.369
144,80.0,35.0,58.281,34.466
146,80.0,35.0,58.604,35.207
148,80.0,35.0,58.926,35.336
150,80.0,35.0,59.248,35.884
152,80.0,35.0,59.57,36.238
154,80.0,35.0,59.893,36.464
156,80.0,35.0,60.215,36.851
158,80.0,35.0,60.795,37.076
160,80.0,35.0,61.182,37.527
162,80.0,35.0,61.504,37.85
164,80.0,35.0,61.826,37.979
166,80.0,35.0,62.148,38.494
168,80.0,35.0,62.471,38.816
170,80.0,35.0,62.793,38.913
172,80.0,35.0,62.793,39.364
174,80.0,35.0,63.115,39.558
176,80.0,35.0,63.147,39.783
178,80.0,35.0,63.438,39.912
180,80.0,35.0,63.76,40.234
182,80.0,35.0,63.856,40.718
184,80.0,35.0,64.082,40.879
186,80.0,35.0,64.404,41.072
188,80.0,35.0,64.727,41.427
190,80.0,35.0,64.823,41.717
192,80.0,35.0,65.081,42.039
194,80.0,35.0,65.371,42.232
196,80.0,35.0,65.629,42.2
198,80.0,35.0,65.693,42.49
200,20.0,35.0,65.951,42.748
202,20.0,35.0,66.016,42.877
204,20.0,35.0,66.016,43.36
206,20.0,35.0,66.016,43.65
208,20.0,35.0,66.016,43.683
210,20.0,35.0,66.016,43.94
212,20.0,35.0,66.016,44.102
214,20.0,35.0,66.016,44.553
216,20.0,35.0,65.693,44.649
218,20.0,35.0,65.661,44.939
220,20.0,35.0,65.081,44.907
222,20.0,35.0,64.727,45.262
224,20.0,35.0,64.404,45.391
226,20.0,35.0,64.082,45.584
228,20.0,35.0,63.76,45.81
230,20.0,35.0,63.438,45.906
232,20.0,35.0,63.115,45.81
234,20.0,35.0,62.793,46.132
236,20.0,35.0,62.31,46.035
238,20.0,35.0,61.955,46.519
240,20.0,35.0,61.568,46.486
242,20.0,35.0,61.182,46.68
244,20.0,35.0,60.859,46.873
246,20.0,35.0,60.537,46.712
248,20.0,35.0,60.021,46.905
250,20.0,35.0,59.57,46.938
252,20.0,35.0,59.409,47.002
254,20.0,35.0,58.926,47.195
256,20.0,35.0,58.636,47.195
258,20.0,35.0,58.281,47.228
260,20.0,35.0,58.023,47.453
262,20.0,35.0,57.733,47.324
264,20.0,35.0,57.314,47.485
266,20.0,35.0,56.992,47.518
268,20.0,35.0,56.67,47.389
270,20.0,35.0,56.348,47.421
272,20.0,35.0,56.025,47.55
274,20.0,35.0,55.703,47.453
276,20.0,35.0,55.381,47.582
278,20.0,35.0,55.349,47.518
280,20.0,35.0,55.059,47.389
282,20.0,35.0,54.736,47.518
284,20.0,35.0,54.382,47.324
286,20.0,35.0,54.092,47.518
288,20.0,35.0,53.77,47.518
290,20.0,35.0,53.447,47.421
292,20.0,35.0,53.125,47.518
294,20.0,35.0,52.964,47.421
296,20.0,35.0,52.803,47.518
298,20.0,35.0,52.48,47.55
300,20.0,95.0,52.255,47.679
302,20.0,95.0,52.158,47.808
304,20.0,95.0,51.868,47.711
306,20.0,95.0,51.836,47.808
308,20.0,95.0,51.514,47.775
310,20.0,95.0,51.514,48.227
312,20.0,95.0,51.32,48.065
314,20.0,95.0,51.191,48.549
316,20.0,95.0,50.869,48.678
318,20.0,95.0,50.611,48.839
320,20.0,95.0,50.547,48.871
322,20.0,95.0,50.257,49.032
324,20.0,95.0,50.225,49.419
326,20.0,95.0,50.225,49.838
328,20.0,95.0,49.902,49.967
330,20.0,95.0,49.902,50.128
332,20.0,95.0,49.709,50.192
334,20.0,95.0,49.58,50.676
336,20.0,95.0,49.548,50.869
338,20.0,95.0,49.258,50.644
340,20.0,95.0,49.258,51.095
342,20.0,95.0,49.097,51.643
344,20.0,95.0,49.097,51.804
346,20.0,95.0,48.936,51.933
348,20.0,95.0,48.936,52.223
350,20.0,95.0,48.903,52.19
352,20.0,95.0,48.71,52.609
354,20.0,95.0,48.646,53.061
356,20.0,95.0,48.613,53.286
358,20.0,95.0,48.678,53.705
360,20.0,95.0,48.613,53.77
362,20.0,95.0,48.613,54.188
364,20.0,95.0,48.613,54.543
366,20.0,95.0,48.613,54.672
368,20.0,95.0,48.42,54.479
370,20.0,95.0,48.291,54.994
372,20.0,95.0,48.291,55.155
374,20.0,95.0,48.291,55.123
376,20.0,95.0,48.291,55.703
378,20.0,95.0,48.227,55.284
380,20.0,95.0,48.291,55.606
382,20.0,95.0,48.291,55.8
384,20.0,95.0,48.291,56.348
386,20.0,95.0,48.291,56.315
388,20.0,95.0,48.291,56.219
390,20.0,95.0,48.291,56.444
392,20.0,95.0,48.291,57.089
394,20.0,95.0,48.291,57.282
396,20.0,95.0,48.001,57.411
398,20.0,95.0,47.969,57.314
400,70.0,95.0,47.904,57.121
402,70.0,95.0,47.646,57.347
404,70.0,95.0,47.711,57.25
406,70.0,95.0,47.969,57.476
408,70.0,95.0,48.033,57.669
410,70.0,95.0,48.291,57.508
412,70.0,95.0,48.613,58.088
414,70.0,95.0,48.936,58.185
416,70.0,95.0,49.258,57.733
418,70.0,95.0,49.58,57.83
420,70.0,95.0,49.902,58.281
422,70.0,95.0,50.225,58.378
424,70.0,95.0,50.547,58.346
426,70.0,95.0,50.901,58.442
428,70.0,95.0,51.514,58.442
430,70.0,95.0,51.836,58.378
432,70.0,95.0,52.352,59.151
434,70.0,95.0,52.803,59.313
436,70.0,95.0,53.125,58.99
438,70.0,95.0,53.673,59.313
440,70.0,95.0,54.092,59.57
442,70.0,95.0,54.446,59.893
444,70.0,95.0,55.026,59.441
446,70.0,95.0,55.381,60.054
448,70.0,95.0,55.703,59.828
450,70.0,95.0,56.348,59.989
452,70.0,95.0,56.67,60.247
454,70.0,95.0,56.992,60.73
456,70.0,95.0,57.347,60.795
458,70.0,95.0,57.669,61.053
460,70.0,95.0,58.023,61.021
462,70.0,95.0,58.604,61.375
464,70.0,95.0,58.958,61.311
466,70.0,95.0,59.57,61.568
468,70.0,95.0,60.215,61.665
470,70.0,95.0,60.247,62.084
472,70.0,95.0,60.859,62.084
474,70.0,95.0,61.182,62.148
476,70.0,95.0,61.826,62.922
478,70.0,95.0,62.148,63.019
480,70.0,95.0,62.471,62.503
482,70.0,95.0,62.793,62.986
484,70.0,95.0,63.115,63.438
486,70.0,95.0,63.438,63.083
488,70.0,95.0,63.76,63.889
490,70.0,95.0,64.082,63.631
492,70.0,95.0,64.114,63.566
494,70.0,95.0,64.404,64.05
496,70.0,95.0,64.727,64.275
498,70.0,95.0,64.888,64.501
500,70.0,25.0,65.049,64.179
502,70.0,25.0,65.371,64.243
504,70.0,25.0,65.693,64.469
506,70.0,25.0,65.693,64.598
508,70.0,25.0,66.016,64.501
510,70.0,25.0,66.016,64.34
512,70.0,25.0,66.338,64.437
514,70.0,25.0,66.692,64.243
516,70.0,25.0,67.015,64.211
518,70.0,25.0,67.337,64.308
520,70.0,25.0,67.627,64.275
522,70.0,25.0,67.627,63.856
524,70.0,25.0,68.271,63.889
526,70.0,25.0,68.594,63.985
528,70.0,25.0,68.594,63.953
530,70.0,25.0,68.723,63.566
532,70.0,25.0,68.916,63.438
534,70.0,25.0,69.238,63.438
536,70.0,25.0,69.238,63.18
538,70.0,25.0,69.561,63.051
540,70.0,25.0,69.883,62.793
542,70.0,25.0,69.915,62.471
544,70.0,25.0,70.205,62.181
546,70.0,25.0,70.205,62.245
548,70.0,25.0,70.205,61.955
550,70.0,25.0,70.527,61.826
552,70.0,25.0,70.527,61.633
554,70.0,25.0,70.785,61.504
556,70.0,25.0,70.882,61.439
558,70.0,25.0,71.172,61.085
560,70.0,25.0,71.172,60.988
562,70.0,25.0,71.172,61.085
564,70.0,25.0,71.397,60.827
566,70.0,25.0,71.494,60.795
568,70.0,25.0,71.494,60.44
570,70.0,25.0,71.559,60.473
572,70.0,25.0,71.784,60.312
574,70.0,25.0,71.816,60.247
576,70.0,25.0,71.816,59.989
578,70.0,25.0,71.816,59.893
580,70.0,25.0,71.816,59.796
582,70.0,25.0,71.816,59.764
584,70.0,25.0,72.139,59.603
586,70.0,25.0,72.139,59.248
588,70.0,25.0,72.268,59.248
590,70.0,25.0,72.396,58.958
592,70.0,25.0,72.461,59.184
594,70.0,25.0,72.461,59.087
596,70.0,25.0,72.461,58.7
598,70.0,25.0,72.493,58.475
600,50.0,25.0,72.461,58.378
602,50.0,25.0,72.493,58.378
604,50.0,25.0,72.461,58.378
606,50.0,25.0,72.558,58.281
608,50.0,25.0,72.719,58.185
610,50.0,25.0,72.461,58.088
612,50.0,25.0,72.461,58.023
614,50.0,25.0,72.461,57.895
616,50.0,25.0,72.139,57.637
618,50.0,25.0,72.139,57.895
620,50.0,25.0,72.139,57.733
622,50.0,25.0,71.881,57.733
624,50.0,25.0,71.816,57.733
626,50.0,25.0,71.526,57.54
628,50.0,25.0,71.494,57.572
630,50.0,25.0,71.172,57.379
632,50.0,25.0,70.85,56.992
634,50.0,25.0,70.527,57.089
636,50.0,25.0,70.27,56.96
638,50.0,25.0,70.173,56.67
640,50.0,25.0,69.883,56.444
642,50.0,25.0,69.593,56.38
644,50.0,25.0,69.561,56.605
646,50.0,25.0,69.013,56.477
648,50.0,25.0,68.594,56.251
650,50.0,25.0,68.465,56.025
652,50.0,25.0,68.239,56.025
654,50.0,25.0,67.949,55.961
656,50.0,25.0,67.595,55.703
658,50.0,25.0,67.047,55.381
660,50.0,25.0,66.982,55.155
662,50.0,25.0,66.66,54.865
664,50.0,25.0,66.531,54.865
666,50.0,25.0,66.563,54.833
668,50.0,25.0,66.338,54.93
670,50.0,25.0,66.209,54.543
672,50.0,25.0,66.016,54.64
674,50.0,25.0,65.854,54.35
676,50.0,25.0,65.693,54.092
678,50.0,25.0,65.371,54.092
680,50.0,25.0,65.371,53.995
682,50.0,25.0,65.371,53.898
684,50.0,25.0,65.049,53.866
686,50.0,25.0,65.017,53.641
688,50.0,25.0,64.791,53.576
690,50.0,25.0,64.727,53.641
692,50.0,25.0,64.662,53.544
694,50.0,25.0,64.404,53.318
696,50.0,25.0,64.146,53.157
698,50.0,25.0,64.146,53.125
700,50.0,100.0,64.179,53.705
702,50.0,100.0,64.082,53.576
704,50.0,100.0,63.953,53.608
706,50.0,100.0,63.76,53.222
708,50.0,100.0,63.76,53.802
710,50.0,100.0,63.76,53.544
712,50.0,100.0,63.566,53.834
714,50.0,100.0,63.47,53.737
716,50.0,100.0,63.438,54.092
718,50.0,100.0,63.438,54.124
720,50.0,100.0,63.438,54.543
722,50.0,100.0,63.309,54.188
724,50.0,100.0,63.309,55.123
726,50.0,100.0,63.309,55.22
728,50.0,100.0,63.341,55.252
730,50.0,100.0,63.115,55.864
732,50.0,100.0,63.147,55.993
734,50.0,100.0,63.115,56.412
736,50.0,100.0,63.115,56.67
738,50.0,100.0,63.115,56.638
740,50.0,100.0,63.115,57.314
742,50.0,100.0,63.115,57.089
744,50.0,100.0,63.019,57.508
746,50.0,100.0,63.115,57.604
748,50.0,100.0,63.019,57.83
750,50.0,100.0,62.761,58.12
752,50.0,100.0,62.503,58.088
754,50.0,100.0,62.471,58.056
756,50.0,100.0,62.471,58.668
758,50.0,100.0,62.406,58.958
760,50.0,100.0,62.148,59.055
762,50.0,100.0,62.148,58.958
764,50.0,100.0,62.148,58.99
766,50.0,100.0,61.858,59.506
768,50.0,100.0,61.826,59.055
770,50.0,100.0,61.826,59.764
772,50.0,100.0,61.826,60.021
774,50.0,100.0,61.826,60.021
776,50.0,100.0,61.665,59.957
778,50.0,100.0,61.504,60.215
780,50.0,100.0,61.633,60.021
782,50.0,100.0,61.536,60.859
784,50.0,100.0,61.504,60.344
786,50.0,100.0,61.665,61.021
788,50.0,100.0,61.536,60.859
790,50.0,100.0,61.536,60.924
792,50.0,100.0,61.504,60.956
794,50.0,100.0,61.794,61.762
796,50.0,100.0,61.826,61.826
798,50.0,100.0,61.826,61.762
800,100.0,100.0,62.148,61.923
802,100.0,100.0,61.826,61.923
804,100.0,100.0,61.826,62.277
806,100.0,100.0,62.148,62.02
808,100.0,100.0,62.471,62.825
810,100.0,100.0,62.793,62.664
812,100.0,100.0,63.115,63.051
814,100.0,100.0,63.438,63.147
816,100.0,100.0,63.76,62.857
818,100.0,100.0,64.146,62.729
820,100.0,100.0,64.533,63.244
822,100.0,100.0,64.727,62.986
824,100.0,100.0,65.049,63.083
826,100.0,100.0,65.597,63.244
828,100.0,100.0,65.726,63.244
830,100.0,100.0,66.016,63.244
832,100.0,100.0,66.596,63.276
834,100.0,100.0,67.047,63.341
836,100.0,100.0,67.917,62.954
838,100.0,100.0,68.271,63.566
840,100.0,100.0,68.594,63.599
842,100.0,100.0,68.916,63.76
844,100.0,100.0,69.561,63.792
846,100.0,100.0,70.205,63.792
848,100.0,100.0,70.785,64.146
850,100.0,100.0,71.172,64.469
852,100.0,100.0,71.494,64.662
854,100.0,100.0,72.042,64.469
856,100.0,100.0,72.461,64.888
858,100.0,100.0,72.783,65.178
860,100.0,100.0,73.105,65.113
862,100.0,100.0,73.653,65.178
864,100.0,100.0,73.75,65.113
866,100.0,100.0,74.072,65.113
868,100.0,100.0,74.395,65.049
870,100.0,100.0,74.813,65.822
872,100.0,100.0,75.361,66.048
874,100.0,100.0,75.78,66.08
876,100.0,100.0,76.296,66.402
878,100.0,100.0,76.65,66.789
880,100.0,100.0,77.198,67.208
882,100.0,100.0,77.617,67.498
884,100.0,100.0,77.939,67.434
886,100.0,100.0,78.262,67.434
888,100.0,100.0,78.584,67.659
890,100.0,100.0,78.906,68.433
892,100.0,100.0,79.229,68.465
894,100.0,100.0,79.551,68.4
896,100.0,100.0,79.873,68.852
898,100.0,100.0,80.034,69.657
900,100.0,45.0,80.356,69.593
902,100.0,45.0,80.518,69.561
904,100.0,45.0,80.84,69.561
906,100.0,45.0,81.162,69.561
908,100.0,45.0,81.484,69.657
910,100.0,45.0,81.807,69.818
912,100.0,45.0,82.064,69.561
914,100.0,45.0,82.129,69.561
916,100.0,45.0,82.451,69.947
918,100.0,45.0,82.741,69.915
920,100.0,45.0,83.063,69.689
922,100.0,45.0,83.096,69.947
924,100.0,45.0,83.257,69.818
926,100.0,45.0,83.418,69.947
928,100.0,45.0,83.74,69.367
930,100.0,45.0,83.547,69.238
932,100.0,45.0,83.418,69.174
934,100.0,45.0,83.74,69.045
936,100.0,45.0,84.063,69.367
938,100.0,45.0,84.32,69.271
940,100.0,45.0,84.385,69.271
942,100.0,45.0,84.481,68.852
944,100.0,45.0,84.707,68.594
946,100.0,45.0,84.997,68.98
948,100.0,45.0,85.029,68.852
950,100.0,45.0,85.255,68.594
952,100.0,45.0,85.352,68.594
954,100.0,45.0,85.352,68.562
956,100.0,45.0,85.674,68.948
958,100.0,45.0,85.674,68.948
960,100.0,45.0,85.738,68.594
962,100.0,45.0,85.996,68.594
964,100.0,45.0,85.996,68.852
966,100.0,45.0,85.932,68.4
968,100.0,45.0,85.996,67.949
970,100.0,45.0,85.996,68.207
972,100.0,45.0,85.996,67.981
974,100.0,45.0,85.738,67.53
976,100.0,45.0,85.996,67.724
978,100.0,45.0,86.318,67.981
980,100.0,45.0,86.318,67.756
982,100.0,45.0,86.318,67.82
984,100.0,45.0,86.318,67.691
986,100.0,45.0,86.318,67.691
988,100.0,45.0,86.351,67.691
990,100.0,45.0,86.447,67.305
992,100.0,45.0,86.641,67.434
994,100.0,45.0,86.802,67.82
996,100.0,45.0,86.931,67.627
998,100.0,45.0,86.641,67.659
1000,0.0,45.0,86.641,66.982
1002,0.0,45.0,86.641,66.692
1004,0.0,45.0,86.641,67.047
1006,0.0,45.0,86.318,67.047
1008,0.0,45.0,85.996,67.079
1010,0.0,45.0,85.674,66.789
1012,0.0,45.0,85.062,66.789
1014,0.0,45.0,84.707,66.66
1016,0.0,45.0,84.063,66.725
1018,0.0,45.0,83.418,66.725
1020,0.0,45.0,82.516,66.596
1022,0.0,45.0,81.807,66.596
1024,0.0,45.0,80.937,66.273
1026,0.0,45.0,80.195,66.112
1028,0.0,45.0,79.454,66.402
1030,0.0,45.0,78.584,66.273
1032,0.0,45.0,77.939,66.145
1034,0.0,45.0,76.973,66.08
1036,0.0,45.0,76.328,65.693
1038,0.0,45.0,75.49,65.629
1040,0.0,45.0,74.717,65.564
1042,0.0,45.0,74.04,65.436
1044,0.0,45.0,73.105,65.242
1046,0.0,45.0,72.171,64.984
1048,0.0,45.0,71.494,64.92
1050,0.0,45.0,70.817,64.791
1052,0.0,45.0,69.947,64.598
1054,0.0,45.0,69.238,64.114
1056,0.0,45.0,68.594,64.082
1058,0.0,45.0,67.82,64.05
1060,0.0,45.0,67.015,63.856
1062,0.0,45.0,66.338,63.631
1064,0.0,45.0,65.693,63.373
1066,0.0,45.0,65.049,63.405
1068,0.0,45.0,64.404,63.115
1070,0.0,45.0,63.76,62.664
1072,0.0,45.0,63.115,62.438
1074,0.0,45.0,62.471,61.762
1076,0.0,45.0,61.826,61.633
1078,0.0,45.0,61.182,61.278
1080,0.0,45.0,60.537,61.278
1082,0.0,45.0,60.215,61.214
1084,0.0,45.0,59.57,61.085
1086,0.0,45.0,59.216,60.924
1088,0.0,45.0,58.604,60.795
1090,0.0,45.0,58.281,60.408
1092,0.0,45.0,57.637,60.344
1094,0.0,45.0,57.121,60.183
1096,0.0,45.0,56.67,59.957
1098,0.0,45.0,56.251,59.764
1100,0.0,0.0,55.703,59.248
1102,0.0,0.0,55.381,58.926
1104,0.0,0.0,54.736,58.604
1106,0.0,0.0,54.414,58.507
1108,0.0,0.0,53.77,58.281
1110,0.0,0.0,53.447,57.959
1112,0.0,0.0,53.125,57.637
1114,0.0,0.0,52.48,56.992
1116,0.0,0.0,52.158,56.67
1118,0.0,0.0,51.836,56.348
1120,0.0,0.0,51.514,56.025
1122,0.0,0.0,51.095,55.703
1124,0.0,0.0,50.644,55.381
1126,0.0,0.0,50.257,54.801
1128,0.0,0.0,49.902,54.414
1130,0.0,0.0,49.58,54.188
1132,0.0,0.0,49.258,53.802
1134,0.0,0.0,48.936,53.447
1136,0.0,0.0,48.42,53.125
1138,0.0,0.0,48.291,52.803
1140,0.0,0.0,47.646,52.19
1142,0.0,0.0,47.324,51.836
1144,0.0,0.0,47.002,51.514
1146,0.0,0.0,46.68,51.191
1148,0.0,0.0,46.357,50.869
1150,0.0,0.0,46.035,50.547
1152,0.0,0.0,45.713,50.225
1154,0.0,0.0,45.391,49.902
1156,0.0,0.0,45.101,49.516
1158,0.0,0.0,44.907,49.129
1160,0.0,0.0,44.682,48.839
1162,0.0,0.0,44.424,48.388
1164,0.0,0.0,44.102,48.065
1166,0.0,0.0,43.779,47.937
1168,0.0,0.0,43.457,47.55
1170,0.0,0.0,43.135,47.292
1172,0.0,0.0,43.038,46.809
1174,0.0,0.0,42.813,46.357
1176,0.0,0.0,42.49,46.035
1178,0.0,0.0,42.168,45.713
1180,0.0,0.0,41.846,45.391
1182,0.0,0.0,41.523,44.843
1184,0.0,0.0,41.201,44.424
1186,0.0,0.0,40.879,44.069
1188,0.0,0.0,40.557,43.779
1190,0.0,0.0,40.557,43.457
1192,0.0,0.0,40.234,43.296
1194,0.0,0.0,40.234,43.135
1196,0.0,0.0,39.912,42.813
1198,0.0,0.0,39.59,42.49
1200,0.0,0.0,39.268,42.168
